"nodeID","year","month","day","hour","minute","second","moisture","latitude","longitude","altitude","satellites"
0, 2019, 3, 26, 16, 53, 51, 1.32, 0.00, 0.00, 0.00, 0
0, 2019, 3, 26, 16, 53, 51, 1.32, 0.00, 0.00, 0.00, 0
0, 2019, 3, 26, 16, 53, 52, 1.32, 0.00, 0.00, 0.00, 0
0, 2019, 3, 26, 16, 53, 52, 1.32, 0.00, 0.00, 0.00, 0
0, 2019, 3, 26, 16, 53, 53, 1.32, 0.00, 0.00, 0.00, 0
0, 2019, 3, 26, 16, 53, 53, 1.32, 0.00, 0.00, 0.00, 0
0, 2019, 3, 26, 16, 53, 53, 1.32, 0.00, 0.00, 0.00, 0
0, 2019, 3, 26, 16, 53, 54, 1.32, 0.00, 0.00, 0.00, 0
0, 2019, 3, 26, 16, 53, 54, 1.32, 0.00, 0.00, 0.00, 0
0, 2019, 3, 26, 16, 53, 55, 1.32, 0.00, 0.00, 0.00, 0
0, 2019, 3, 26, 16, 53, 55, 1.32, 0.00, 0.00, 0.00, 0
0, 2019, 3, 26, 16, 53, 56, 1.32, 0.00, 0.00, 0.00, 0
0, 2019, 3, 26, 16, 53, 56, 1.32, 0.00, 0.00, 0.00, 0
0, 2019, 3, 26, 16, 53, 57, 1.32, 0.00, 0.00, 0.00, 0
0, 2019, 3, 26, 16, 53, 57, 1.32, 0.00, 0.00, 0.00, 0
0, 2019, 3, 26, 16, 53, 58, 1.32, 0.00, 0.00, 0.00, 0
0, 2019, 3, 26, 16, 53, 58, 1.32, 0.00, 0.00, 0.00, 0
0, 2019, 3, 26, 16, 53, 59, 1.32, 0.00, 0.00, 0.00, 0
0, 2019, 3, 26, 16, 53, 59, 1.32, 0.00, 0.00, 0.00, 0
0, 2019, 3, 26, 16, 54, 0, 1.32, 0.00, 0.00, 0.00, 0
0, 2019, 3, 26, 16, 54, 0, 1.32, 0.00, 0.00, 0.00, 0
0, 2019, 3, 26, 16, 54, 1, 1.32, 0.00, 0.00, 0.00, 0
0, 2019, 3, 26, 16, 54, 1, 1.32, 0.00, 0.00, 0.00, 0
0, 2019, 3, 26, 16, 54, 2, 1.32, 0.00, 0.00, 0.00, 0
0, 2019, 3, 26, 16, 54, 2, 1.32, 0.00, 0.00, 0.00, 0
0, 2019, 3, 26, 16, 54, 3, 1.32, 0.00, 0.00, 0.00, 0
0, 2019, 3, 26, 16, 54, 3, 1.32, 0.00, 0.00, 0.00, 0
0, 2019, 3, 26, 16, 54, 4, 1.32, 0.00, 0.00, 0.00, 0
0, 2019, 3, 26, 16, 54, 4, 1.32, 0.00, 0.00, 0.00, 0
